X	Y
400.000000	0.000158
405.000000	0.000170
410.000000	0.000235
415.000000	0.000310
420.000000	0.000492
425.000000	0.000871
430.000000	0.001742
435.000000	0.004640
436.500000	0.006589
438.000000	0.009730
439.500000	0.014900
441.000000	0.023731
442.500000	0.040168
444.000000	0.071256
445.500000	0.126446
447.000000	0.207341
448.500000	0.290237
450.000000	0.344562
451.500000	0.369805
453.000000	0.366853
454.500000	0.310673
456.000000	0.207815
457.500000	0.116435
459.000000	0.061676
460.500000	0.033720
462.000000	0.019402
463.500000	0.011783
465.000000	0.007436
470.000000	0.002273
475.000000	0.000880
480.000000	0.000458
485.000000	0.000235
490.000000	0.000159
495.000000	0.000114
500.000000	0.000071
